Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,32.16,32.46,31.33,31.37,1916400.0,0.0,1.0,16.00150206534,16.150769808487,15.588527975967,15.60843034172,3832800.0
2009-06-30,37.9,38.48,36.86,37.58,1388600.0,0.0,1.0,18.857491550882,19.1460758543,18.340030041307,18.698272624859,2777200.0
2009-09-30,53.07,53.35,51.54,52.24,1190400.0,0.0,1.0,26.405463762674,26.544780322944,25.644198272625,25.992489673301,2380800.0
2009-12-31,58.43,58.93,57.83,57.84,462000.0,0.0,1.0,29.072380773564,29.321160345475,28.77384528727,28.778820878708,924000.0
2010-03-31,65.39,65.8,64.52,64.63,1982100.0,0.0,1.0,32.53539241457,32.739391663537,32.102515959444,32.157247465265,3964200.0
2010-06-30,51.63,54.04,51.43,52.66,2990100.0,0.0,1.0,25.688978595569,26.888096132182,25.589466766804,26.201464513706,5980200.0
2010-09-30,70.16,71.32,67.6,68.29,2106900.0,0.0,1.0,34.908749530605,35.485918137439,33.634998122418,33.978313931656,4213800.0
2010-12-31,88.36,89.43,88.2301,88.91,455500.0,0.0,1.0,43.964325948179,44.496714232069,43.899693015396,44.237983477281,911000.0
2011-03-31,95.67,96.42,94.4,94.48,1663200.0,0.0,1.0,47.601483289523,47.97465264739,46.969583176868,47.009387908374,3326400.0
2011-06-30,44.25,45.16,44.25,44.79,2334100.0,0.0,1.0,44.033984228314,44.939541870071,44.033984228314,44.571348103643,2334100.0
2011-09-30,37.93,38.58,37.29,37.6,2441300.0,0.0,1.0,37.744836650394,38.391663537364,37.107960946301,37.416447615471,2441300.0
2011-12-31,52.28,52.5,51.97,52.23,1172900.0,0.0,1.0,52.024784078107,52.243710101389,51.716297408937,51.975028163725,1172900.0
2012-03-31,50.51,50.51,49.16,50.42,3442300.0,0.0,1.0,50.263424708975,50.263424708975,48.920015020653,50.173864063087,3442300.0
2012-06-30,39.0,39.48,38.74,39.23,2754000.0,0.0,1.0,38.809613218175,39.287269996245,38.550882463387,39.038490424333,2754000.0
2012-09-30,46.66,46.75,46.01,46.3,2567100.0,0.0,1.0,46.43221930154,46.521779947428,45.78539241457,46.073976717987,2567100.0
2012-12-31,40.72,42.87,40.67,42.83,1955700.0,0.0,1.0,40.521216672925,42.660720991363,40.471460758543,42.620916259857,1955700.0
2013-03-31,54.09,54.518,53.87,54.39,1230500.0,0.0,1.0,53.825948178746,54.251858805858,53.607022155464,54.124483665039,1230500.0
2013-06-30,56.05,56.48,55.53,55.68,1935600.0,0.0,1.0,55.776380022531,56.204280886219,55.258918512955,55.408186256102,1935600.0
2013-09-30,54.84,55.525,54.61,55.42,1377700.0,0.0,1.0,54.57228689448,55.253942921517,54.343409688321,55.149455501314,1377700.0
2013-12-31,51.77,52.26,51.56,52.21,1154600.0,0.0,1.0,51.517273751408,52.004881712354,51.308298911003,51.955125797972,1154600.0
2014-03-31,52.56,52.76,52.13,52.29,986000.0,0.0,1.0,52.303417198648,52.502440856177,51.875516334961,52.034735260984,986000.0
2014-06-30,60.49,61.09,60.17,61.07,1323000.0,0.0,1.0,60.194705219677,60.791776192264,59.87626736763,60.771873826511,1323000.0
2014-09-30,54.1,54.75,53.84,54.31,2780472.0,0.0,1.0,53.835899361622,54.482726248592,53.577168606834,54.044874202028,2780472.0
2014-12-31,47.15,47.62,46.5,46.84,1620150.0,0.0,1.0,46.919827262486,47.387532857679,46.273000375516,46.611340593316,1620150.0
2015-03-31,37.21,37.71,37.0,37.01,4449386.0,0.0,1.0,37.02835148329,37.525910627112,36.819376642884,36.82932782576,4449386.0
2015-06-30,41.19,41.61,40.74,41.49,4718841.0,0.0,1.0,40.988922268119,41.40687194893,40.541119038678,41.287457754412,4718841.0
2015-09-30,31.74,31.92,30.49,31.0,4143964.0,0.0,1.0,31.585054449869,31.764175741645,30.341156590312,30.848666917011,4143964.0
2015-12-31,28.97,29.41,28.83,29.01,1480375.0,0.0,1.0,28.82857679309,29.266428839655,28.68926023282,28.868381524596,1480375.0
2016-03-31,26.97,27.4,26.88,27.36,3183883.0,0.0,1.0,26.838340217799,27.266241081487,26.748779571911,27.226436349981,3183883.0
2016-06-30,26.16,26.67,25.98,26.67,3299678.0,0.0,1.0,26.032294404807,26.539804731506,25.85317311303,26.539804731506,3299678.0
2016-09-30,30.08,30.19,29.635,29.67,3846292.0,0.0,1.0,29.933158092377,30.042621104018,29.490330454375,29.525159594442,3846292.0
2016-12-31,35.6,35.91,35.39,35.53,2039836.0,0.0,1.0,35.42621104018,35.73469770935,35.217236199775,35.356552760045,2039836.0
2017-03-31,32.52,32.89,32.45,32.5,3176905.0,0.0,1.0,32.361246714232,32.729440480661,32.291588434097,32.341344348479,3176905.0
2017-06-30,27.25,27.38,27.07,27.2,3571495.0,0.0,1.0,27.11697333834,27.246338715734,26.937852046564,27.067217423958,3571495.0
2017-09-30,27.69,27.95,27.405,27.92,4353019.0,0.0,1.0,27.554825384904,27.813556139692,27.271216672925,27.783702591063,4353019.0
2017-12-31,31.36,31.495,30.865,31.31,2096588.0,0.0,1.0,31.36,31.495,30.865,31.31,2096588.0
2018-03-31,29.69,29.91,28.77,29.0,2984331.0,0.0,1.0,29.69,29.91,28.77,29.0,2984331.0
