None,ticker,dimension,datekey,price,netinc,liabilities,equityusd,epsusd,revenueusd,netinccmnusd,debtusd,marketcap,equity,assets,fcf,gp,netmargin,pb,NPGR,BTMkt,equitymultiplier,ROE
0,ADP,ARQ,2019-11-04,161.88,582400000.0,32354000000,5360700000,1.35,3495700000.0,582400000.0,6325400000,70045166647.0,5360700000,37714700000,311200000.0,1450900000.0,0.167,13.066,,0.07653204720057007,7.035405823866286,0.10864252802805603
1,ADP,ARQ,2019-08-09,167.73,475400000.0,36487800000,5399900000,1.1,3498700000.0,475400000.0,2264200000,72785232050.0,5399900000,41887700000,616000000.0,1478200000.0,0.136,13.479,-0.22507362221287336,0.07418950036857098,7.7571251319468875,0.08803866738272931
2,ADP,ARQ,2019-05-03,160.19,753700000.0,42950100000,5246200000,1.74,3847400000.0,753700000.0,2002300000,69719211285.0,5246200000,48196300000,793600000.0,1735600000.0,0.196,13.289,0.36924505771527133,0.075247552336105,9.186897182722733,0.1436658915024208
3,ADP,ARQ,2019-01-31,139.84,558200000.0,34042400000,4763900000,1.28,3505900000.0,558200000.0,3208300000,60918451095.0,4763900000,38806300000,687900000.0,1492200000.0,0.159,12.788,-0.350232891436761,0.07820126602646019,8.145909863767082,0.1171729045529923
4,ADP,ARQ,2018-11-01,140.91,505400000.0,32737900000,4678800000,1.16,3323200000.0,505400000.0,2455400000,61680886434.0,4678800000,37416700000,32200000.0,1382700000.0,0.152,13.183,-0.10447170557973882,0.07585494097926797,7.997071898777464,0.10801915020945542
5,ADP,ARQ,2018-08-03,134.25,108700000.0,33629100000,3459600000,0.26,3318600000.0,108700000.0,2002400000,58812609993.0,3459600000,37088700000,590200000.0,1366300000.0,0.033,17.0,-3.6494940202391906,0.05882411952830811,10.720516822754076,0.03141981731992138
6,ADP,ARQ,2018-05-04,125.36,643100000.0,40036300000,4029200000,1.46,3693000000.0,643100000.0,2002400000,55223878537.0,4029200000,44065500000,1030200000.0,1615600000.0,0.174,13.706,0.8309749650132172,0.07296119191085856,10.93653827062444,0.1596098481088057
7,ADP,ARQ,2018-02-01,120.42,467500000.0,40614300000,3931200000,1.06,3235400000.0,467500000.0,2002400000,53378532096.0,3931200000,44545500000,322700000.0,1288700000.0,0.144,13.578,-0.3756149732620321,0.07364758538001442,11.331272893772894,0.11892043142043142
8,ADP,ARQ,2017-11-02,114.34,401500000.0,31707700000,3953400000,0.91,3078800000.0,401500000.0,2131500000,50708615728.0,3953400000,35661100000,101700000.0,1212400000.0,0.13,12.827,-0.1643835616438356,0.07796308266835676,9.020362219861385,0.10155815247634947
9,ADP,ARQ,2017-08-04,111.39,265800000.0,33203000000,3977000000,0.6,3064900000.0,265800000.0,2002400000,49498903625.0,3977000000,37180000000,323200000.0,1217500000.0,0.087,12.446,-0.5105342362678705,0.08034521390876564,9.348755343223536,0.06683429720895147
10,ADP,ARQ,2017-05-04,99.1,587900000.0,39752800000,4103100000,1.32,3410800000.0,587900000.0,2002500000,44338365090.0,4103100000,43855900000,717300000.0,1499800000.0,0.172,10.806,0.547882292906957,0.09254062461868731,10.68847944237284,0.1432819088006629
11,ADP,ARQ,2017-02-01,95.25,510900000.0,36184300000,3815100000,1.14,2987300000.0,510900000.0,2002500000,42757970936.0,3815100000,39999400000,390900000.0,1219500000.0,0.171,11.208,-0.15071442552358583,0.08922546876020918,10.48449581924458,0.1339152315797751
