None,ticker,dimension,datekey,price,netinc,liabilities,equityusd,epsusd,revenueusd,netinccmnusd,debtusd,marketcap,equity,assets,fcf,gp,netmargin,pb,NPGR,BTMkt,equitymultiplier,ROE
12,ADP,ARQ,2016-11-03,89.33,368700000.0,30087300000,4250100000,0.82,2916900000.0,368700000.0,2007700000,40303303475.0,4250100000,34337400000,223900000.0,1173300000.0,0.126,9.483,-0.3856794141578519,0.10545289426799276,8.079198136514435,0.08675089997882403
13,ADP,ARQ,2016-08-05,89.67,282000000.0,39188400000,4481600000,0.63,2898300000.0,282000000.0,2007700000,40905387196.0,4481600000,43670000000,560800000.0,1199700000.0,0.097,9.127,-0.3074468085106383,0.10956014127249822,9.744287754373438,0.06292395573009639
14,ADP,ARQ,2016-05-05,86.45,532500000.0,46622400000,4503200000,1.17,3248600000.0,532500000.0,2007700000,39380983719.0,4503200000,51125600000,625500000.0,1435900000.0,0.164,8.745,0.4704225352112676,0.11434960670693854,11.353171078344289,0.1182492449813466
15,ADP,ARQ,2016-02-03,82.15,341400000.0,35693300000,4206200000,0.75,2807000000.0,341400000.0,1994800000,37579610412.0,4206200000,39899500000,311100000.0,1124500000.0,0.122,8.934,-0.5597539543057997,0.11192771702223042,9.48587798963435,0.08116589796015405
16,ADP,ARQ,2015-11-05,86.98,336600000.0,29750100000,4630200000,0.73,2714000000.0,336600000.0,1995200000,40115752156.0,4630200000,34380300000,-7800000.0,1067500000.0,0.124,8.664,-0.0142602495543672,0.11542099427662043,7.425230011662563,0.07269664377348711
17,ADP,ARQ,2015-08-07,80.29,336200000.0,28302000000,4808500000,0.72,2671700000.0,336200000.0,9200000,37399895177.0,4808500000,33110500000,345500000.0,1081000000.0,0.126,7.778,-0.001189767995240928,0.12856987906632175,6.885827181033586,0.06991785380056151
18,ADP,ARQ,2015-05-06,85.41,489600000.0,31929200000,5178100000,1.04,3031700000.0,489600000.0,9700000,40102047402.0,5178100000,37107300000,782800000.0,1343700000.0,0.161,7.745,0.3133169934640523,0.12912308312073248,7.166199957513373,0.09455205577335316
19,ADP,ARQ,2015-02-05,87.17,331500000.0,38010900000,5492200000,0.7,2661300000.0,331500000.0,10300000,41419009603.0,5492200000,43503100000,144100000.0,1074300000.0,0.125,7.541,-0.47692307692307695,0.13260094948292045,7.920887804522778,0.06035832635373803
20,ADP,ARQ,2014-10-30,78.95,295200000.0,24380800000,5827300000,0.62,2573800000.0,295200000.0,1947900000,38058384439.0,5827300000,30208100000,321300000.0,1011900000.0,0.115,6.531,-0.12296747967479675,0.1531147495065115,5.183893055102706,0.05065810924441851
21,ADP,ARQ,2014-08-08,81.12,288800000.0,25381500000,6670200000,0.61,3073800000.0,288800000.0,2184500000,39011590120.0,6670200000,32051700000,510700000.0,1228300000.0,0.094,5.849,-0.0221606648199446,0.1709799569687471,4.805208239632995,0.043297052562142065
22,ADP,ARQ,2014-05-01,77.62,521600000.0,29980400000,6616100000,1.09,3320000000.0,521600000.0,12100000,37420775248.0,6616100000,36596500000,640900000.0,1435600000.0,0.157,5.656,0.44631901840490795,0.1768028576680438,5.531430903402306,0.07883798612475627
0,ADSK,ARQ,2019-09-04,144.34,40200000.0,5067000000,-194300000,0.18,796800000.0,40200000.0,2156000000,31695275339.0,-194300000,4872700000,204500000.0,717300000.0,0.05,-163.125,,-0.006130251210057172,-25.078229541945444,-0.20689655172413793
1,ADSK,ARQ,2019-06-04,159.91,-24200000.0,5053800000,-245300000,-0.11,735500000.0,-24200000.0,2288100000,35119367038.0,-245300000,4808500000,206500000.0,652800000.0,-0.033,-143.169,2.6611570247933884,-0.006984750030790119,-19.602527517325722,0.09865470852017937
2,ADSK,ARQ,2019-03-25,154.69,64700000.0,4940100000,-210900000,0.3,737300000.0,64700000.0,2087700000,33959902563.0,-210900000,4729200000,293900000.0,660300000.0,0.088,-161.024,1.3740340030911902,-0.00621026516812742,-22.423897581792318,-0.30678046467520154
3,ADSK,ARQ,2018-12-06,140.14,-23700000.0,4112700000,-338300000,-0.11,660900000.0,-23700000.0,1587800000,30691898277.0,-338300000,3774400000,26500000.0,588600000.0,-0.036,-90.724,3.729957805907173,-0.01102245279672116,-11.156961276973101,0.0700561631687851
4,ADSK,ARQ,2018-08-30,153.86,-39400000.0,4074600000,-241600000,-0.18,611700000.0,-39400000.0,1587200000,33636355153.0,-241600000,3833000000,23300000.0,541900000.0,-0.064,-139.223,0.39847715736040606,-0.007182704514239019,-15.865066225165563,0.1630794701986755
5,ADSK,ARQ,2018-06-08,135.13,-82400000.0,4040000000,-128600000,-0.38,559900000.0,-82400000.0,1586600000,29613075606.0,-128600000,3911400000,-33600000.0,493100000.0,-0.147,-230.273,0.5218446601941747,-0.0043426762458251365,-30.41524105754277,0.640746500777605
6,ADSK,ARQ,2018-03-22,131.41,-173500000.0,4369600000,-256000000,-0.79,553800000.0,-173500000.0,1586000000,28690464345.0,-256000000,4113600000,67900000.0,480700000.0,-0.313,-112.072,0.5250720461095101,-0.008922825260742569,-16.06875,0.677734375
7,ADSK,ARQ,2017-12-05,106.59,-119800000.0,4044700000,107300000,-0.55,515300000.0,-119800000.0,1585400000,23478240557.0,107300000,4152000000,-64000000.0,437800000.0,-0.232,218.809,-0.44824707846410683,0.0045701891391520255,38.69524697110904,-1.1164958061509787
8,ADSK,ARQ,2017-08-31,114.46,-144000000.0,4038500000,315500000,-0.66,501800000.0,-144000000.0,1584900000,25088744706.0,315500000,4354000000,-90300000.0,427200000.0,-0.287,79.521,0.16805555555555557,0.012575360134480854,13.800316957210777,-0.45641838351822506
9,ADSK,ARQ,2017-05-31,111.77,-129600000.0,3923300000,508100000,-0.59,485700000.0,-129600000.0,1491500000,24633179862.0,508100000,4431400000,36600000.0,407500000.0,-0.267,48.481,-0.1111111111111111,0.02062665083624923,8.721511513481598,-0.25506790001968116
10,ADSK,ARQ,2017-03-21,83.64,-173400000.0,4064500000,733600000,-0.78,478800000.0,-173400000.0,1490700000,18471832776.0,733600000,4798100000,4700000.0,395900000.0,-0.362,25.18,0.25259515570934254,0.039714521503959724,6.540485278080698,-0.23636859323882226
11,ADSK,ARQ,2016-12-01,69.22,-142800000.0,3768600000,1060600000,-0.64,489600000.0,-142800000.0,1489900000,15405350685.0,1060600000,4829200000,-14800000.0,408100000.0,-0.292,14.525,-0.21428571428571427,0.06884620945582844,4.553271732981331,-0.134640769375825
12,ADSK,ARQ,2016-08-30,68.03,-98200000.0,3715700000,1331700000,-0.44,550700000.0,-98200000.0,1489200000,15095378137.0,1331700000,5047400000,-38300000.0,465600000.0,-0.178,11.335,-0.45417515274949083,0.08821905538993388,3.7901929864083503,-0.07374033190658556
13,ADSK,ARQ,2016-06-06,58.67,-173000000.0,3769700000,1435900000,-0.77,511900000.0,-173000000.0,1488400000,13180570864.0,1435900000,5205600000,142100000.0,419400000.0,-0.338,9.179,0.4323699421965318,0.10894065323997942,3.625322097639111,-0.12048192771084337
14,ADSK,ARQ,2016-03-23,57.29,-37200000.0,3895700000,1619600000,-0.17,648300000.0,-37200000.0,1487700000,12861214970.0,1619600000,5515300000,139300000.0,553400000.0,-0.057,7.941,-3.650537634408602,0.1259290046685224,3.405346999259076,-0.022968634230674242
15,ADSK,ARQ,2015-12-09,63.25,-43800000.0,3486900000,1733100000,-0.19,599800000.0,-43800000.0,1486900000,14251689933.0,1733100000,5220000000,68400000.0,508800000.0,-0.073,8.223,0.1506849315068493,0.12160663108358688,3.01194391552709,-0.02527263285442271
16,ADSK,ARQ,2015-08-31,46.75,-235500000.0,3439700000,1902100000,-1.04,609500000.0,-235500000.0,1486200000,10574805775.0,1902100000,5341800000,59900000.0,516500000.0,-0.386,5.56,0.8140127388535032,0.17987091587977652,2.80836969665107,-0.12381052520897955
17,ADSK,ARQ,2015-05-28,54.55,19100000.0,2551500000,2224400000,0.08,646500000.0,19100000.0,747400000,12418429310.0,2224400000,4775900000,74000000.0,554700000.0,0.03,5.583,13.329842931937172,0.1791208811092391,2.147050890127675,0.008586585146556375
18,ADSK,ARQ,2015-03-18,61.63,11500000.0,2694600000,2219200000,0.05,664600000.0,11500000.0,747200000,14002601995.0,2219200000,4913800000,241700000.0,575100000.0,0.017,6.31,-0.6608695652173913,0.1584848302331541,2.2142213410237925,0.005182047584715212
19,ADSK,ARQ,2014-12-05,60.9,10700000.0,2468300000,2268500000,0.05,618000000.0,10700000.0,747000000,13855998694.0,2268500000,4736800000,107600000.0,532000000.0,0.017,6.108,-0.07476635514018691,0.1637197036531418,2.0880758210271106,0.004716773198148556
20,ADSK,ARQ,2014-09-02,53.46,31300000.0,2420000000,2283400000,0.14,637100000.0,31300000.0,746800000,12148060777.0,2283400000,4703400000,79100000.0,549200000.0,0.049,5.32,0.65814696485623,0.18796415674205183,2.059823070859245,0.013707628974336515
21,ADSK,ARQ,2014-06-03,53.15,28300000.0,2359900000,2288700000,0.12,592500000.0,28300000.0,746600000,12111124672.0,2288700000,4648600000,204200000.0,513800000.0,0.048,5.292,-0.10600706713780919,0.18897501776125716,2.0311093633940667,0.012365098090619128
0,AIZ,ARQ,2019-08-08,119.46,144100000.0,37379200000,5730200000,2.24,2545500000.0,139500000.0,2007300000,7302697314.0,5730200000,43139500000,453600000.0,1858500000.0,0.055,1.274,,0.7846689727937421,7.528445778506859,0.025147464311891382
1,AIZ,ARQ,2019-05-08,96.21,165700000.0,36765300000,5440600000,2.57,2435600000.0,161000000.0,2006600000,5914479155.0,5440600000,42237000000,214300000.0,1820900000.0,0.066,1.087,0.13035606517803258,0.9198781257687939,7.763298165643495,0.030456199683858397
2,AIZ,ARQ,2019-02-22,98.34,25000000.0,35955400000,5112000000,0.27,2317000000.0,20300000.0,2006000000,6067190049.0,5112000000,41089300000,178300000.0,1560500000.0,0.009,1.187,-5.628,0.842564673055291,8.037812989045383,0.004890453834115806
3,AIZ,ARQ,2018-11-08,103.3,53000000.0,38203400000,5219400000,0.76,2270300000.0,48300000.0,2005400000,6410171486.0,5219400000,43443100000,261500000.0,1589400000.0,0.021,1.228,0.5283018867924528,0.8142371871640752,8.323389661646933,0.01015442388013948
4,AIZ,ARQ,2018-08-09,105.95,67000000.0,37028400000,5312500000,1.09,1831700000.0,62200000.0,2004800000,6657830298.0,5312500000,42361300000,226400000.0,1341100000.0,0.034,1.253,0.208955223880597,0.7979326240255575,7.973891764705883,0.012611764705882354
5,AIZ,ARQ,2018-05-07,87.29,106000000.0,27926900000,4489800000,1.99,1638600000.0,106000000.0,2004400000,4599307656.0,4489800000,32427900000,-92200000.0,1224000000.0,0.065,1.024,0.36792452830188677,0.9761904042541832,7.222571161298944,0.023609069446300503
6,AIZ,ARQ,2018-02-14,89.64,312900000.0,27561500000,4270600000,5.7,1676600000.0,312900000.0,1068200000,4703895573.0,4270600000,31843000000,171500000.0,1262600000.0,0.187,1.101,0.6612336209651646,0.9078858009758798,7.4563293214068285,0.07326839320001874
7,AIZ,ARQ,2017-11-03,100.14,-57300000.0,28267000000,4138200000,-1.05,1586400000.0,-57300000.0,1067900000,5388704339.0,4138200000,32405200000,354400000.0,904200000.0,-0.036,1.302,6.460732984293194,0.7679397012098719,7.830747668068242,-0.013846599971001884
8,AIZ,ARQ,2017-08-03,103.84,120200000.0,25834300000,4224600000,2.18,1600500000.0,120200000.0,1136600000,5595603547.0,4224600000,30058900000,-40800000.0,1184100000.0,0.075,1.325,1.4767054908485857,0.7549855818975876,7.115206173365526,0.02845239786015244
9,AIZ,ARQ,2017-05-04,104.47,143800000.0,25408900000,4158800000,2.56,1551500000.0,143800000.0,1067300000,5723702151.0,4158800000,29567700000,9400000.0,1193500000.0,0.093,1.376,0.16411682892906815,0.7265926650766423,7.109671058959315,0.03457728190824276
10,AIZ,ARQ,2017-02-14,95.25,31316000.0,25611028000,4098100000,0.69,1752292000.0,31316000.0,1067020000,5299358718.0,4098100000,29709128000,158847000.0,1323623000.0,0.018,1.293,-3.591901903180483,0.7733199841860564,7.249488299455845,0.007641590005124326
11,AIZ,ARQ,2016-11-01,79.36,144367000.0,25778922000,4504914000,2.4,1834168000.0,144367000.0,1165557000,4524523666.0,4504914000,30283836000,239649000.0,1398995000.0,0.079,1.004,0.7830806209175227,0.9956659159178769,6.72240047201789,0.03204656071125886
12,AIZ,ARQ,2016-08-02,83.29,169349000.0,25196142000,4608071000,2.72,1797793000.0,169349000.0,1165255000,5014428224.0,4608071000,29804213000,12557000.0,1396979000.0,0.094,1.088,0.14751784775817986,0.9189624009263713,6.467828512190893,0.036750518817960924
13,AIZ,ARQ,2016-05-03,86.23,220318000.0,25722550000,4564645000,3.38,2147527000.0,220318000.0,1414704000,5340819491.0,4564645000,30287195000,-361760000.0,1603711000.0,0.103,1.17,0.2313428771139898,0.8546712742664382,6.635169876299252,0.04826618499357562
14,AIZ,ARQ,2016-02-16,67.25,65744000.0,25519161000,4523967000,0.98,2547834000.0,65744000.0,1171382000,4356277258.0,4523967000,30043128000,-300311000.0,1537945000.0,0.026,0.963,-2.3511499148211246,1.038493817557652,6.640881332688767,0.014532378330788001
15,AIZ,ARQ,2015-11-03,83.51,-7022000.0,25902492000,4683599000,-0.1,2534156000.0,-7022000.0,1171305000,5498222740.0,4683599000,30586091000,333383000.0,1279951000.0,-0.003,1.174,10.36257476502421,0.8518387161593967,6.530467488783732,-0.0014992743827983565
16,AIZ,ARQ,2015-08-04,76.06,32789000.0,26014122000,4827960000,0.48,2644894000.0,32789000.0,1171229000,5082211915.0,4827960000,30842082000,309865000.0,1377180000.0,0.012,1.053,1.2141571868614474,0.9499721933574665,6.3882223547833865,0.006791481288163117
17,AIZ,ARQ,2015-05-06,64.54,50044000.0,25672144000,5128212000,0.72,2598610000.0,50044000.0,1171153000,4383327360.0,5128212000,30800356000,-199813000.0,1387883000.0,0.019,0.855,0.3447965790104708,1.1699358908936246,6.006061371877761,0.009758566923520322
18,AIZ,ARQ,2015-02-19,60.83,49755000.0,26381159000,5181307000,0.72,2622692000.0,49755000.0,1171079000,4189095786.0,5181307000,31562466000,-145573000.0,1498697000.0,0.019,0.809,-0.0058084614611596825,1.2368556998185574,6.091603141832746,0.009602789412015153
19,AIZ,ARQ,2014-11-04,68.67,140297000.0,25330566000,5342563000,1.94,2702488000.0,140297000.0,1171005000,4824413459.0,5342563000,30673129000,224929000.0,1578795000.0,0.052,0.903,0.6453594873732154,1.1074015619522382,5.741276050464918,0.02626024250907289
20,AIZ,ARQ,2014-07-29,65.2,143610000.0,25267466000,5349707000,1.98,2608101000.0,143610000.0,1170932000,4653942748.0,5349707000,30617173000,116956000.0,1458488000.0,0.055,0.87,0.023069424134809554,1.1494999594266604,5.723149510804984,0.02684446082748083
21,AIZ,ARQ,2014-04-29,66.7,137245000.0,24572097000,5096288000,1.88,2448372000.0,137245000.0,1170859000,4778557285.0,5096288000,29668385000,114073000.0,1440340000.0,0.056,0.938,-0.04637691719188313,1.0664909293851859,5.8215675801681535,0.026930385409929737
0,AJG,ARQ,2019-10-25,91.21,126100000.0,14261800000,4843300000,0.68,1825200000.0,126100000.0,4811200000,17012762830.0,4843300000,19173800000,317100000.0,1159800000.0,0.069,3.513,,0.284686270442765,3.958829723535606,0.0260359672124378
1,AJG,ARQ,2019-07-26,92.33,110100000.0,14252500000,4879400000,0.59,1657800000.0,110100000.0,4705300000,17179843100.0,4879400000,19200300000,479800000.0,1108100000.0,0.066,3.521,-0.14532243415077203,0.28401889188382634,3.9349715128909293,0.022564249702832315
2,AJG,ARQ,2019-04-29,82.95,334100000.0,13673200000,4880300000,1.81,1990600000.0,334100000.0,4515000000,15366653400.0,4880300000,18631400000,-135500000.0,1345600000.0,0.168,3.149,0.6704579467225381,0.31759029588055915,3.8176751429215416,0.06845890621478187
3,AJG,ARQ,2019-02-08,78.83,117300000.0,11764300000,4498900000,0.64,1657400000.0,117300000.0,3610400000,14509449800.0,4498900000,16334000000,226900000.0,986100000.0,0.071,3.225,-1.8482523444160273,0.3100668917163213,3.6306652737335794,0.026073040076463137
4,AJG,ARQ,2018-10-26,74.03,127600000.0,11502000000,4544500000,0.7,1778500000.0,127600000.0,3530500000,13595757560.0,4544500000,16114700000,163200000.0,1042000000.0,0.072,2.992,0.08072100313479624,0.33425868179426405,3.5459786555176587,0.028077896358235228
5,AJG,ARQ,2018-07-27,70.89,114900000.0,11717400000,4443600000,0.63,1660400000.0,114900000.0,3487100000,12945364680.0,4443600000,16230500000,499300000.0,995800000.0,0.069,2.913,-0.11053089643167972,0.34325800082443103,3.652556485732289,0.025857412908452605
6,AJG,ARQ,2018-05-07,69.02,273700000.0,11543000000,4514600000,1.51,1837700000.0,273700000.0,3273100000,12580482460.0,4514600000,16127500000,-248700000.0,1190400000.0,0.149,2.787,0.5801972963098283,0.3588574614967509,3.5722987640101005,0.06062552607096974
7,AJG,ARQ,2018-02-12,66.21,105100000.0,8732500000,4105200000,0.58,1599000000.0,105100000.0,3133000000,12012215460.0,4105200000,12897400000,359700000.0,952200000.0,0.066,2.926,-1.60418648905804,0.3417521117291048,3.1417226931696387,0.02560167592321933
8,AJG,ARQ,2017-10-30,62.74,130400000.0,8638200000,4110000000,0.72,1584500000.0,130400000.0,3023100000,11343329260.0,4110000000,12810400000,225500000.0,918900000.0,0.082,2.76,0.19401840490797545,0.36232748832330025,3.1168856447688564,0.03172749391727494
9,AJG,ARQ,2017-07-28,59.41,171900000.0,8659600000,3844700000,0.96,1563400000.0,171900000.0,3112800000,10703543240.0,3844700000,12569600000,-600000.0,954700000.0,0.11,2.784,0.2414194299011053,0.35919881050529584,3.269331807423206,0.04471090072047234
10,AJG,ARQ,2017-04-28,55.81,55700000.0,8053300000,3662500000,0.31,1412700000.0,55700000.0,2944100000,10018676340.0,3662500000,11780600000,140400000.0,845400000.0,0.039,2.735,-2.0861759425493718,0.3655672541668314,3.2165460750853243,0.015208191126279863
11,AJG,ARQ,2017-02-13,55.55,95100000.0,7833800000,3596600000,0.53,1385000000.0,95100000.0,2848200000,9922174350.0,3596600000,11489600000,154700000.0,856500000.0,0.069,2.759,0.41430073606729756,0.3624810321943194,3.194572651949063,0.02644163932603014
12,AJG,ARQ,2016-10-28,48.33,122800000.0,7459100000,3686500000,0.69,1482300000.0,122800000.0,2785700000,8599888530.0,3686500000,11200300000,207700000.0,843000000.0,0.083,2.333,0.2255700325732899,0.4286683469372829,3.038193408381934,0.03331072833310728
13,AJG,ARQ,2016-07-29,49.19,150000000.0,7728500000,3599900000,0.85,1427100000.0,150000000.0,2730600000,8708154890.0,3599900000,11384300000,-5600000.0,897500000.0,0.105,2.419,0.18133333333333335,0.4133941168333996,3.162393399816662,0.041667824106225174
14,AJG,ARQ,2016-05-02,46.9,46500000.0,7060300000,3597100000,0.26,1300400000.0,46500000.0,2523000000,8307350100.0,3597100000,10712600000,47500000.0,791500000.0,0.036,2.309,-2.225806451612903,0.4330020953372364,2.978121264351839,0.012927080147896917
15,AJG,ARQ,2016-02-10,38.0,62300000.0,7225600000,3638300000,0.34,1334900000.0,62300000.0,2457000000,6727026000.0,3638300000,10913800000,298900000.0,796400000.0,0.047,1.849,0.2536115569823435,0.5408482143520777,2.99969766099552,0.01712338179919193
16,AJG,ARQ,2015-10-28,44.05,133300000.0,6802500000,3652400000,0.76,1454800000.0,133300000.0,2392600000,7783414750.0,3652400000,10510400000,215700000.0,827800000.0,0.092,2.131,0.5326331582895724,0.46925419206268043,2.8776694776037672,0.03649655021355821
17,AJG,ARQ,2015-07-31,47.43,139300000.0,7004600000,3638500000,0.82,1371400000.0,139300000.0,2371600000,8278669350.0,3638500000,10716100000,-56500000.0,857500000.0,0.102,2.275,0.043072505384063174,0.43950299814788474,2.94519719664697,0.03828500755805964
18,AJG,ARQ,2015-04-28,48.67,21900000.0,6511300000,3145200000,0.13,1231300000.0,21900000.0,2335800000,8111196190.0,3145200000,9730900000,95500000.0,718500000.0,0.018,2.579,-5.360730593607306,0.3877603162746332,3.093889100852092,0.006962991224723388
19,AJG,ARQ,2015-02-13,47.5,51500000.0,6780600000,3229400000,0.3,1245400000.0,51500000.0,2392900000,7825340000.0,3229400000,10010000000,147300000.0,733200000.0,0.041,2.423,0.574757281553398,0.4126849440407701,3.09964699324952,0.015947234780454574
20,AJG,ARQ,2014-10-29,47.41,93600000.0,6732000000,3256000000,0.58,1286800000.0,93600000.0,2421200000,7650741340.0,3256000000,9988000000,8800000.0,755600000.0,0.073,2.35,0.4497863247863248,0.4255796733026136,3.0675675675675675,0.028746928746928746
21,AJG,ARQ,2014-08-01,44.71,109000000.0,6769700000,3249600000,0.71,1179300000.0,109000000.0,2517000000,7108577030.0,3249600000,10019300000,108400000.0,724800000.0,0.092,2.188,0.14128440366972478,0.4571379034490114,3.0832410142786806,0.033542589857213194
22,AJG,ARQ,2014-04-24,44.67,49300000.0,5131400000,2144200000,0.37,915000000.0,49300000.0,1892400000,7017478320.0,2144200000,7275600000,56300000.0,586800000.0,0.054,3.273,-1.2109533468559839,0.3055513536663124,3.3931536237291295,0.022992258184870815
0,AVB,ARQ,2019-11-05,210.66,279677000.0,8242039000,10814425000,2.0,587613000.0,279677000.0,7497984000,29421153735.0,10814425000,19060467000,-33875000.0,389794000.0,0.476,2.721,,0.3675731107422528,1.7625039703913985,0.02586147668507572
1,AVB,ARQ,2019-08-06,203.09,168281000.0,8178707000,10750000000,1.21,577263000.0,168281000.0,7490380000,28362928554.0,10750000000,18932575000,-98479000.0,382152000.0,0.292,2.638,-0.6619642146172177,0.3790158685318106,1.7611697674418605,0.015654046511627908
2,AVB,ARQ,2019-05-03,202.16,170366000.0,7902588000,10733999000,1.23,566184000.0,170366000.0,7180503000,28181765670.0,10733999000,18639983000,-28127000.0,381400000.0,0.301,2.625,0.012238357418733786,0.38088454519464465,1.7365366812499237,0.01587162435919735
3,AVB,ARQ,2019-02-22,196.04,385734000.0,7744350000,10632606000,2.79,578520000.0,385734000.0,7040263000,27153219475.0,10632606000,18380200000,-235024000.0,385783000.0,0.667,2.554,0.55833294446432,0.3915780966522019,1.7286636973099538,0.03627840625336818
4,AVB,ARQ,2018-11-02,173.18,192486000.0,8258644000,10397398000,1.39,575982000.0,192486000.0,7533228000,23937384153.0,10397398000,18662119000,-11151000.0,381834000.0,0.334,2.302,-1.003958729466039,0.4343581543222602,1.7948835852970138,0.018512901016196553
5,AVB,ARQ,2018-08-03,180.08,254662000.0,8266813000,10398188000,1.84,569239000.0,254662000.0,7571278000,24890428538.0,10398188000,18671008000,-15859000.0,377486000.0,0.447,2.394,0.24415107083114088,0.4177584963684003,1.7956020799008443,0.02449099785462621
6,AVB,ARQ,2018-05-04,164.35,141643000.0,8305371000,10335124000,1.03,560792000.0,141643000.0,7599455000,22714618745.0,10335124000,18646447000,-2361000.0,368872000.0,0.253,2.198,-0.7979144751240795,0.45499878805031646,1.8041822236482117,0.01370501215079761
7,AVB,ARQ,2018-02-23,160.01,237573000.0,8020719000,10388046000,1.72,555291000.0,237573000.0,7329470000,22096661595.0,10388046000,18414821000,-159167000.0,373484000.0,0.428,2.127,0.40379167666359395,0.4701183459473621,1.7726934401330143,0.022869844819709117
8,AVB,ARQ,2017-11-03,181.97,238248000.0,7835285000,10333813000,1.73,550500000.0,238248000.0,7128030000,25127848976.0,10333813000,18177837000,-138573000.0,363212000.0,0.433,2.432,0.0028331822302810517,0.4112494073754576,1.7590638615194605,0.023055187857570096
9,AVB,ARQ,2017-08-04,187.87,165225000.0,7652491000,10282412000,1.2,530512000.0,165225000.0,6991759000,25941683081.0,10282412000,17943745000,14298000.0,350259000.0,0.311,2.523,-0.4419609623241035,0.39636641801128786,1.7450910350606452,0.016068700612268793
10,AVB,ARQ,2017-05-02,191.2,235875000.0,7703021000,10266622000,1.72,522326000.0,235875000.0,7005729000,26344697158.0,10266622000,17978421000,23445000.0,346352000.0,0.452,2.566,0.29952305246422894,0.3897035497666509,1.7511525212479822,0.022974937618235092
11,AVB,ARQ,2017-02-24,183.06,242235000.0,7688089000,10171416000,1.76,518240000.0,242235000.0,7030880000,25139810663.0,10171416000,17867271000,-63587000.0,348796000.0,0.467,2.472,0.026255495696327947,0.40459397790811436,1.756615893008407,0.02381526819864609
12,AVB,ARQ,2016-11-04,171.61,356392000.0,7542083000,10036624000,2.6,516211000.0,356392000.0,6815970000,23566493752.0,10036624000,17588657000,-219718000.0,339084000.0,0.69,2.348,0.3203130261060854,0.4258853313360724,1.7524475361436276,0.035509151284336245
